start,end,start_lat,start_long,end_lat,end_long,cost
N1,source-1,57.9727,-126.8263,38.9603,-67.7183,0.24
N2,source-1,57.9727,-126.8263,33.6701,-79.1441,0.45
N3,source-1,57.9727,-126.8263,21.3022,-90.1044,0.88
N4,source-1,57.9727,-126.8263,31.8968,-103.4019,0.07
N5,source-1,57.9727,-126.8263,53.2547,-124.4917,0.95
N6,source-1,57.9727,-126.8263,54.6989,-129.2372,0.73
N1,source-2,36.1551,-116.9825,38.9603,-67.7183,0.97
N2,source-2,36.1551,-116.9825,33.6701,-79.1441,0.57
N3,source-2,36.1551,-116.9825,21.3022,-90.1044,0.74
N4,source-2,36.1551,-116.9825,31.8968,-103.4019,0.33
N5,source-2,36.1551,-116.9825,53.2547,-124.4917,0.39
N6,source-2,36.1551,-116.9825,54.6989,-129.2372,0.14
N1,source-3,13.7307,-88.6817,38.9603,-67.7183,0.25
N2,source-3,13.7307,-88.6817,33.6701,-79.1441,0.52
N3,source-3,13.7307,-88.6817,21.3022,-90.1044,0.68
N4,source-3,13.7307,-88.6817,31.8968,-103.4019,0.83
N5,source-3,13.7307,-88.6817,53.2547,-124.4917,0.03
N6,source-3,13.7307,-88.6817,54.6989,-129.2372,0.76
N1,source-4,63.7724,-68.2911,38.9603,-67.7183,0.65
N2,source-4,63.7724,-68.2911,33.6701,-79.1441,0.95
N3,source-4,63.7724,-68.2911,21.3022,-90.1044,0.55
N4,source-4,63.7724,-68.2911,31.8968,-103.4019,0.69
N5,source-4,63.7724,-68.2911,53.2547,-124.4917,0.85
N6,source-4,63.7724,-68.2911,54.6989,-129.2372,0.98
N1,source-5,19.2897,-88.6817,38.9603,-67.7183,0.22
N2,source-5,19.2897,-88.6817,33.6701,-79.1441,0.26
N3,source-5,19.2897,-88.6817,21.3022,-90.1044,0.38
N4,source-5,19.2897,-88.6817,31.8968,-103.4019,0.8
N5,source-5,19.2897,-88.6817,53.2547,-124.4917,0.63
N6,source-5,19.2897,-88.6817,54.6989,-129.2372,0.13
N1,source-6,64.9139,-73.3888,38.9603,-67.7183,0.55
N2,source-6,64.9139,-73.3888,33.6701,-79.1441,0.54
N3,source-6,64.9139,-73.3888,21.3022,-90.1044,0.84
N4,source-6,64.9139,-73.3888,31.8968,-103.4019,0.64
N5,source-6,64.9139,-73.3888,53.2547,-124.4917,0.37
N6,source-6,64.9139,-73.3888,54.6989,-129.2372,0.06
N1,source-7,53.6312,-103.6321,38.9603,-67.7183,0.88
N2,source-7,53.6312,-103.6321,33.6701,-79.1441,0.58
N3,source-7,53.6312,-103.6321,21.3022,-90.1044,0.88
N4,source-7,53.6312,-103.6321,31.8968,-103.4019,0.21
N5,source-7,53.6312,-103.6321,53.2547,-124.4917,0.27
N6,source-7,53.6312,-103.6321,54.6989,-129.2372,0.02
N1,source-8,13.5599,-88.3302,38.9603,-67.7183,0.13
N2,source-8,13.5599,-88.3302,33.6701,-79.1441,0.58
N3,source-8,13.5599,-88.3302,21.3022,-90.1044,0.15
N4,source-8,13.5599,-88.3302,31.8968,-103.4019,0.67
N5,source-8,13.5599,-88.3302,53.2547,-124.4917,0.09
N6,source-8,13.5599,-88.3302,54.6989,-129.2372,0.84
S7,source-9,-3.1851,-67.9395,7.6532,-76.2382,0.16
N1,source-10,49.6009,-78.7756,38.9603,-67.7183,0.33
N2,source-10,49.6009,-78.7756,33.6701,-79.1441,0.13
N3,source-10,49.6009,-78.7756,21.3022,-90.1044,0.19
N4,source-10,49.6009,-78.7756,31.8968,-103.4019,0.82
N5,source-10,49.6009,-78.7756,53.2547,-124.4917,1
N6,source-10,49.6009,-78.7756,54.6989,-129.2372,0.87
N1,source-11,19.2969,-72.0959,38.9603,-67.7183,0.79
N2,source-11,19.2969,-72.0959,33.6701,-79.1441,0.24
N3,source-11,19.2969,-72.0959,21.3022,-90.1044,0.05
N4,source-11,19.2969,-72.0959,31.8968,-103.4019,0.45
N5,source-11,19.2969,-72.0959,53.2547,-124.4917,0.54
N6,source-11,19.2969,-72.0959,54.6989,-129.2372,0.79
S1,source-12,13.7381,-84.2248,8.9915,-67.2331,0.32
S6,source-12,13.7381,-84.2248,-6.9267,-75.2371,0.03
S7,source-12,13.7381,-84.2248,7.6532,-76.2382,0.24
S6,source-13,-21.6305,-69.1077,-6.9267,-75.2371,0.96
S7,source-13,-21.6305,-69.1077,7.6532,-76.2382,0.95
S4,source-14,-17.1551,-71.7444,-43.7592,-65.5599,0.27
S5,source-14,-17.1551,-71.7444,-35.8045,-71.5364,0.76
S8,source-14,-17.1551,-71.7444,-32.5658,-52.7961,0.62
S1,source-15,18.4653,-71.7444,8.9915,-67.2331,0.15
S2,source-15,18.4653,-71.7444,-5.1621,-42.1811,0.76
S7,source-15,18.4653,-71.7444,7.6532,-76.2382,0.43
S3,source-16,-53.9649,-67.8227,-21.3756,-49.9622,0.03
S4,source-16,-53.9649,-67.8227,-43.7592,-65.5599,0.56
S5,source-16,-53.9649,-67.8227,-35.8045,-71.5364,0.45
S8,source-16,-53.9649,-67.8227,-32.5658,-52.7961,0.54
S2,source-17,-31.9649,-52.5842,-5.1621,-42.1811,0.07
S3,source-17,-31.9649,-52.5842,-21.3756,-49.9622,0.7
S4,source-17,-31.9649,-52.5842,-43.7592,-65.5599,0.49
S8,source-17,-31.9649,-52.5842,-32.5658,-52.7961,0.77
E4,source-18,54.0505,-7.9358,50.0536,2.4377,0.12
E1,source-19,21.1114,15.2672,47.4901,14.1276,0.93
E2,source-19,21.1114,15.2672,54.9682,27.7502,0.88
E5,source-19,21.1114,15.2672,39.2195,-3.3631,0.17
E1,source-20,66.1899,20.1891,47.4901,14.1276,0.54
E2,source-20,66.1899,20.1891,54.9682,27.7502,0.14
E3,source-20,66.1899,20.1891,58.8052,15.9729,0.81
E5,source-20,66.1899,20.1891,39.2195,-3.3631,0.65
E6,source-20,66.1899,20.1891,35.9945,9.5282,0.93
E7,source-20,66.1899,20.1891,44.9363,26.0808,0.13
E10,source-20,66.1899,20.1891,69.7711,22.6141,0.66
E1,source-21,53.7917,-1.431,47.4901,14.1276,0.13
E2,source-21,53.7917,-1.431,54.9682,27.7502,0.67
E3,source-21,53.7917,-1.431,58.8052,15.9729,0.07
E5,source-21,53.7917,-1.431,39.2195,-3.3631,0.94
E6,source-21,53.7917,-1.431,35.9945,9.5282,0.97
E7,source-21,53.7917,-1.431,44.9363,26.0808,0.16
E10,source-21,53.7917,-1.431,69.7711,22.6141,0.93
E1,source-22,21.9291,12.8942,47.4901,14.1276,0.12
E2,source-22,21.9291,12.8942,54.9682,27.7502,0.88
E3,source-22,21.9291,12.8942,58.8052,15.9729,0.97
E5,source-22,21.9291,12.8942,39.2195,-3.3631,0.63
E6,source-22,21.9291,12.8942,35.9945,9.5282,0.99
E7,source-22,21.9291,12.8942,44.9363,26.0808,0.24
E10,source-22,21.9291,12.8942,69.7711,22.6141,0.55
M7,source-23,-16.4821,13.7371,2.0002,13.0886,0.51
M8,source-23,-16.4821,13.7371,10.2101,-7.1261,0.41
M12,source-23,-16.4821,13.7371,-11.5451,40.3679,0.72
M13,source-23,-16.4821,13.7371,9.7734,49.8601,0.42
E1,source-24,62.7478,32.7575,47.4901,14.1276,0.38
E2,source-24,62.7478,32.7575,54.9682,27.7502,0.47
E3,source-24,62.7478,32.7575,58.8052,15.9729,0.05
E5,source-24,62.7478,32.7575,39.2195,-3.3631,0.79
E6,source-24,62.7478,32.7575,35.9945,9.5282,0.53
E7,source-24,62.7478,32.7575,44.9363,26.0808,0.22
E10,source-24,62.7478,32.7575,69.7711,22.6141,0.69
E1,source-25,37.8456,33.109,47.4901,14.1276,0.43
E2,source-25,37.8456,33.109,54.9682,27.7502,0.31
E3,source-25,37.8456,33.109,58.8052,15.9729,0.13
E5,source-25,37.8456,33.109,39.2195,-3.3631,0.93
E6,source-25,37.8456,33.109,35.9945,9.5282,0.06
E7,source-25,37.8456,33.109,44.9363,26.0808,0.6
E10,source-25,37.8456,33.109,69.7711,22.6141,0.03
E6,source-26,17.2943,13.4215,35.9945,9.5282,0.96
M1,source-26,17.2943,13.4215,29.9007,25.0417,0.17
M2,source-26,17.2943,13.4215,20.0666,35.6046,0.45
M5,source-27,-23.0935,14.8278,-21.8787,33.8308,0.72
M6,source-27,-23.0935,14.8278,-32.6365,23.2839,0.8
M11,source-27,-23.0935,14.8278,-10.6827,14.1675,0.86
M12,source-27,-23.0935,14.8278,-11.5451,40.3679,0.81
M13,source-27,-23.0935,14.8278,9.7734,49.8601,0.38
A7,source-28,27.0141,66.1421,19.2389,73.3796,0.2
A6,source-29,18.7055,95.5416,12.3081,80.0773,0.88
A7,source-29,18.7055,95.5416,19.2389,73.3796,0.48
E11,source-30,14.6654,102.5728,64.3111,-17.1125,0.09
A3,source-30,14.6654,102.5728,38.3505,117.5187,0.55
A4,source-30,14.6654,102.5728,26.3621,103.8708,0.33
A8,source-30,14.6654,102.5728,50.8332,140.3611,0.8
A9,source-30,14.6654,102.5728,16.4459,95.0096,0.77
A12,source-30,14.6654,102.5728,6.8166,125.2493,0.23
A5,source-31,9.1639,105.7369,20.2081,103.6321,0.02
E11,source-32,38.4596,117.3385,64.3111,-17.1125,0.71
A3,source-32,38.4596,117.3385,38.3505,117.5187,0.36
A4,source-32,38.4596,117.3385,26.3621,103.8708,0.66
A8,source-32,38.4596,117.3385,50.8332,140.3611,0.14
A9,source-32,38.4596,117.3385,16.4459,95.0096,0.85
A12,source-32,38.4596,117.3385,6.8166,125.2493,0
Z5,source-33,-21.0671,117.1627,-31.9787,117.1119,0.34
Z7,source-33,-21.0671,117.1627,-12.7481,133.5319,0.28
E11,source-34,43.1146,123.1392,64.3111,-17.1125,0.54
A1,source-34,43.1146,123.1392,44.7861,142.4796,0.98
A2,source-34,43.1146,123.1392,41.8452,129.8234,0.18
A12,source-34,43.1146,123.1392,6.8166,125.2493,0.26
A1,source-35,52.4138,142.6511,44.7861,142.4796,0.91
A2,source-35,52.4138,142.6511,41.8452,129.8234,0.93
Z2,source-36,-31.899,132.9831,-29.5135,152.1351,0.16
Z3,source-36,-31.899,132.9831,-37.0957,142.2138,0.18
Z1,source-37,-16.4076,142.8267,-21.5409,147.7123,0.31
Z2,source-37,-16.4076,142.8267,-29.5135,152.1351,0.61
Z7,source-37,-16.4076,142.8267,-12.7481,133.5319,0.22
Z1,source-38,-22.3734,141.7721,-21.5409,147.7123,0.68
